bash debug | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash env | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash exit | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash help | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash ls | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:-a, --all, -l | notes:parser accepte tout flag, handler lit a, all, l
bash mkdir | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:-p | notes:parser accepte tout flag, handler lit p
bash nano | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash nslookup | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash pwd | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash rm | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:-r | notes:parser accepte tout flag, handler lit r
bash sleep | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:validation speciale dans ShellCommandHandler (args uniques, inf/infinity)
bash touch | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash vi | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:alias de nano
bash vim | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:alias de nano
